date,channel,campaign_type,campaign_name,spend,clicks,impressions,conversions,revenue,roas
2025-08-22,Google Ads,Performance Max,Shopping Best Sellers,355.38,356,15351,19,1531.68,4.31
2025-08-22,Google Ads,Search,Brand Search,309.49,400,16829,23,1442.21,4.66
2025-08-22,Google Ads,Shopping,Generic Search,362.82,482,16658,12,1730.67,4.77
2025-08-22,Meta Ads,Advantage+,Advantage Shopping,298.15,554,13820,29,793.08,2.66
2025-08-22,Meta Ads,Prospecting,Lookalike Prospecting,242.1,648,16588,17,670.6,2.77
2025-08-22,Meta Ads,Retargeting,Cart Retargeting,303.71,384,17406,26,962.75,3.17
2025-08-22,Microsoft Ads,Search,Bing Brand,117.51,336,7770,14,766.15,6.52
2025-08-22,Microsoft Ads,Shopping,Bing Generic,126.07,356,8804,18,674.47,5.35
2025-08-23,Google Ads,Performance Max,Shopping Best Sellers,376.41,861,20331,47,1486.81,3.95
2025-08-23,Google Ads,Search,Brand Search,317.43,424,16587,12,1488.74,4.69
2025-08-23,Google Ads,Shopping,Generic Search,315.8,594,17214,25,1206.35,3.82
2025-08-23,Meta Ads,Advantage+,Advantage Shopping,344.31,392,14958,14,953.73,2.77
2025-08-23,Meta Ads,Prospecting,Lookalike Prospecting,248.38,413,18581,18,675.58,2.72
2025-08-23,Meta Ads,Retargeting,Cart Retargeting,321.75,772,21577,48,1003.87,3.12
2025-08-23,Microsoft Ads,Search,Bing Brand,97.63,208,7951,11,671.71,6.88
2025-08-23,Microsoft Ads,Shopping,Bing Generic,120.54,188,7552,7,659.34,5.47
2025-08-24,Google Ads,Performance Max,Shopping Best Sellers,412.35,928,32017,26,1834.98,4.45
2025-08-24,Google Ads,Search,Brand Search,364.49,1029,24897,44,1829.73,5.02
2025-08-24,Google Ads,Shopping,Generic Search,377.13,499,24486,13,1847.92,4.9
2025-08-24,Meta Ads,Advantage+,Advantage Shopping,396.71,728,24423,49,1059.22,2.67
2025-08-24,Meta Ads,Prospecting,Lookalike Prospecting,277.05,789,18232,50,947.52,3.42
2025-08-24,Meta Ads,Retargeting,Cart Retargeting,281.6,654,20466,24,898.3,3.19
2025-08-24,Microsoft Ads,Search,Bing Brand,144.61,212,9331,14,827.18,5.72
2025-08-24,Microsoft Ads,Shopping,Bing Generic,167.37,401,11842,13,773.24,4.62
2025-08-25,Google Ads,Performance Max,Shopping Best Sellers,444.66,1544,36245,45,1676.37,3.77
2025-08-25,Google Ads,Search,Brand Search,389.67,954,30019,24,2115.89,5.43
2025-08-25,Google Ads,Shopping,Generic Search,393.21,1346,32955,84,1462.75,3.72
2025-08-25,Meta Ads,Advantage+,Advantage Shopping,346.51,602,25935,24,1049.93,3.03
2025-08-25,Meta Ads,Prospecting,Lookalike Prospecting,288.27,833,21974,26,761.03,2.64
2025-08-25,Meta Ads,Retargeting,Cart Retargeting,332.99,730,17957,32,1012.28,3.04
2025-08-25,Microsoft Ads,Search,Bing Brand,150.38,292,9281,9,959.4,6.38
2025-08-25,Microsoft Ads,Shopping,Bing Generic,137.21,225,9395,8,642.13,4.68
2025-08-26,Google Ads,Performance Max,Shopping Best Sellers,542.9,1319,34349,81,2383.32,4.39
2025-08-26,Google Ads,Search,Brand Search,311.85,678,16310,43,1737.03,5.57
2025-08-26,Google Ads,Shopping,Generic Search,361.44,614,26061,19,1438.54,3.98
2025-08-26,Meta Ads,Advantage+,Advantage Shopping,364.1,444,19366,20,1201.53,3.3
2025-08-26,Meta Ads,Prospecting,Lookalike Prospecting,262.34,467,16107,21,697.84,2.66
2025-08-26,Meta Ads,Retargeting,Cart Retargeting,362.26,643,31258,27,1141.11,3.15
2025-08-26,Microsoft Ads,Search,Bing Brand,127.27,284,6776,12,731.78,5.75
2025-08-26,Microsoft Ads,Shopping,Bing Generic,168.8,328,7474,20,838.92,4.97
2025-08-27,Google Ads,Performance Max,Shopping Best Sellers,443.15,803,27685,55,2056.2,4.64
2025-08-27,Google Ads,Search,Brand Search,418.04,748,33524,35,2516.61,6.02
2025-08-27,Google Ads,Shopping,Generic Search,382.73,476,17084,33,1599.79,4.18
2025-08-27,Meta Ads,Advantage+,Advantage Shopping,396.37,704,31858,48,1189.12,3.0
2025-08-27,Meta Ads,Prospecting,Lookalike Prospecting,339.23,556,25215,21,1034.65,3.05
2025-08-27,Meta Ads,Retargeting,Cart Retargeting,390.3,971,25915,27,1198.21,3.07
2025-08-27,Microsoft Ads,Search,Bing Brand,113.63,278,7815,10,635.17,5.59
2025-08-27,Microsoft Ads,Shopping,Bing Generic,133.63,238,7093,12,726.97,5.44
2025-08-28,Google Ads,Performance Max,Shopping Best Sellers,453.47,614,20526,43,2085.98,4.6
2025-08-28,Google Ads,Search,Brand Search,356.06,987,23331,34,1958.34,5.5
2025-08-28,Google Ads,Shopping,Generic Search,452.97,961,27092,37,1807.35,3.99
2025-08-28,Meta Ads,Advantage+,Advantage Shopping,413.41,1251,35729,32,1277.44,3.09
2025-08-28,Meta Ads,Prospecting,Lookalike Prospecting,341.18,438,17602,29,900.72,2.64
2025-08-28,Meta Ads,Retargeting,Cart Retargeting,382.87,496,22447,31,1271.14,3.32
2025-08-28,Microsoft Ads,Search,Bing Brand,145.39,443,10447,14,840.34,5.78
2025-08-28,Microsoft Ads,Shopping,Bing Generic,134.16,225,8975,11,584.94,4.36
2025-08-29,Google Ads,Performance Max,Shopping Best Sellers,341.54,599,24137,35,1581.33,4.63
2025-08-29,Google Ads,Search,Brand Search,329.49,578,23242,27,1624.39,4.93
2025-08-29,Google Ads,Shopping,Generic Search,403.36,540,18616,20,1903.83,4.72
2025-08-29,Meta Ads,Advantage+,Advantage Shopping,288.1,919,23754,58,818.19,2.84
2025-08-29,Meta Ads,Prospecting,Lookalike Prospecting,252.25,213,10704,14,741.6,2.94
2025-08-29,Meta Ads,Retargeting,Cart Retargeting,324.79,856,25840,27,987.37,3.04
2025-08-29,Microsoft Ads,Search,Bing Brand,125.43,138,6677,8,706.19,5.63
2025-08-29,Microsoft Ads,Shopping,Bing Generic,144.78,223,10125,15,690.61,4.77
2025-08-30,Google Ads,Performance Max,Shopping Best Sellers,448.9,723,34759,46,1804.6,4.02
2025-08-30,Google Ads,Search,Brand Search,345.88,1111,27147,29,2106.42,6.09
2025-08-30,Google Ads,Shopping,Generic Search,386.2,1259,32397,81,1583.43,4.1
2025-08-30,Meta Ads,Advantage+,Advantage Shopping,367.25,695,20038,30,1244.99,3.39
2025-08-30,Meta Ads,Prospecting,Lookalike Prospecting,278.15,656,21903,26,770.47,2.77
2025-08-30,Meta Ads,Retargeting,Cart Retargeting,316.55,313,13632,12,876.84,2.77
2025-08-30,Microsoft Ads,Search,Bing Brand,129.07,228,10876,16,798.95,6.19
2025-08-30,Microsoft Ads,Shopping,Bing Generic,116.31,131,6275,6,643.21,5.53
2025-08-31,Google Ads,Performance Max,Shopping Best Sellers,495.9,1325,37385,55,2261.32,4.56
2025-08-31,Google Ads,Search,Brand Search,398.81,865,27630,36,2029.95,5.09
2025-08-31,Google Ads,Shopping,Generic Search,441.31,588,32610,39,1765.23,4.0
2025-08-31,Meta Ads,Advantage+,Advantage Shopping,368.82,953,22468,53,992.12,2.69
2025-08-31,Meta Ads,Prospecting,Lookalike Prospecting,258.17,384,14679,24,810.65,3.14
2025-08-31,Meta Ads,Retargeting,Cart Retargeting,371.4,595,20768,26,1051.05,2.83
2025-08-31,Microsoft Ads,Search,Bing Brand,151.5,271,8415,7,957.46,6.32
2025-08-31,Microsoft Ads,Shopping,Bing Generic,144.94,346,9871,16,695.71,4.8
2025-09-01,Google Ads,Performance Max,Shopping Best Sellers,542.77,935,39229,32,2496.75,4.6
2025-09-01,Google Ads,Search,Brand Search,366.77,962,23214,59,1811.82,4.94
2025-09-01,Google Ads,Shopping,Generic Search,387.35,870,25253,35,1471.92,3.8
2025-09-01,Meta Ads,Advantage+,Advantage Shopping,364.29,577,15391,35,1140.24,3.13
2025-09-01,Meta Ads,Prospecting,Lookalike Prospecting,255.21,648,16176,19,712.03,2.79
2025-09-01,Meta Ads,Retargeting,Cart Retargeting,339.36,622,17222,29,1055.4,3.11
2025-09-01,Microsoft Ads,Search,Bing Brand,117.95,253,5888,12,707.71,6.0
2025-09-01,Microsoft Ads,Shopping,Bing Generic,133.9,321,10735,20,610.56,4.56
2025-09-02,Google Ads,Performance Max,Shopping Best Sellers,558.25,875,35371,32,2562.37,4.59
2025-09-02,Google Ads,Search,Brand Search,395.89,1163,27236,75,2418.91,6.11
2025-09-02,Google Ads,Shopping,Generic Search,451.22,1156,29201,58,2057.58,4.56
2025-09-02,Meta Ads,Advantage+,Advantage Shopping,352.82,940,25837,27,977.31,2.77
2025-09-02,Meta Ads,Prospecting,Lookalike Prospecting,316.02,709,20686,27,1017.58,3.22
2025-09-02,Meta Ads,Retargeting,Cart Retargeting,303.4,433,16452,21,855.59,2.82
2025-09-02,Microsoft Ads,Search,Bing Brand,131.67,187,7994,8,816.37,6.2
2025-09-02,Microsoft Ads,Shopping,Bing Generic,177.65,524,13022,31,891.79,5.02
2025-09-03,Google Ads,Performance Max,Shopping Best Sellers,453.48,524,27940,21,1795.79,3.96
2025-09-03,Google Ads,Search,Brand Search,363.35,789,21013,50,1682.32,4.63
2025-09-03,Google Ads,Shopping,Generic Search,501.46,1221,37929,64,2106.11,4.2
2025-09-03,Meta Ads,Advantage+,Advantage Shopping,419.51,509,26336,21,1128.49,2.69
2025-09-03,Meta Ads,Prospecting,Lookalike Prospecting,321.79,480,15905,15,939.63,2.92
2025-09-03,Meta Ads,Retargeting,Cart Retargeting,366.57,716,21895,19,953.07,2.6
2025-09-03,Microsoft Ads,Search,Bing Brand,123.84,263,9444,15,721.99,5.83
2025-09-03,Microsoft Ads,Shopping,Bing Generic,174.93,148,7992,7,797.69,4.56
2025-09-04,Google Ads,Performance Max,Shopping Best Sellers,440.86,703,29704,40,1983.86,4.5
2025-09-04,Google Ads,Search,Brand Search,440.65,1203,31399,66,2269.37,5.15
2025-09-04,Google Ads,Shopping,Generic Search,476.14,450,24270,14,2304.53,4.84
2025-09-04,Meta Ads,Advantage+,Advantage Shopping,426.28,933,25512,27,1440.81,3.38
2025-09-04,Meta Ads,Prospecting,Lookalike Prospecting,332.16,862,23027,26,903.47,2.72
2025-09-04,Meta Ads,Retargeting,Cart Retargeting,390.95,342,18321,13,1325.31,3.39
2025-09-04,Microsoft Ads,Search,Bing Brand,145.55,259,6780,16,922.78,6.34
2025-09-04,Microsoft Ads,Shopping,Bing Generic,164.11,543,14159,22,718.82,4.38
2025-09-05,Google Ads,Performance Max,Shopping Best Sellers,449.97,1455,33758,54,1898.88,4.22
2025-09-05,Google Ads,Search,Brand Search,312.79,544,20259,35,1620.24,5.18
2025-09-05,Google Ads,Shopping,Generic Search,409.33,1204,34889,75,1567.71,3.83
2025-09-05,Meta Ads,Advantage+,Advantage Shopping,312.07,604,21678,16,926.84,2.97
2025-09-05,Meta Ads,Prospecting,Lookalike Prospecting,283.3,530,18063,31,858.42,3.03
2025-09-05,Meta Ads,Retargeting,Cart Retargeting,276.75,445,21969,28,913.27,3.3
2025-09-05,Microsoft Ads,Search,Bing Brand,128.58,257,6628,11,717.49,5.58
2025-09-05,Microsoft Ads,Shopping,Bing Generic,150.29,149,8181,10,778.52,5.18
2025-09-06,Google Ads,Performance Max,Shopping Best Sellers,450.32,930,30698,45,1832.81,4.07
2025-09-06,Google Ads,Search,Brand Search,279.18,674,17864,37,1594.14,5.71
2025-09-06,Google Ads,Shopping,Generic Search,390.49,619,30334,21,1675.2,4.29
2025-09-06,Meta Ads,Advantage+,Advantage Shopping,370.46,587,19167,34,1015.07,2.74
2025-09-06,Meta Ads,Prospecting,Lookalike Prospecting,253.1,522,14398,20,812.47,3.21
2025-09-06,Meta Ads,Retargeting,Cart Retargeting,276.62,296,14015,14,741.34,2.68
2025-09-06,Microsoft Ads,Search,Bing Brand,133.96,151,7333,5,826.52,6.17
2025-09-06,Microsoft Ads,Shopping,Bing Generic,122.97,167,5243,6,548.46,4.46
