date,channel,campaign_type,campaign_name,spend,clicks,impressions,conversions,revenue,roas
2025-12-20,Google Ads,Search,Brand Search,351.69,455,19124,26,1638.88,4.66
2025-12-20,Google Ads,Shopping,Generic Search,412.3,548,18930,14,1966.67,4.77
2025-12-20,Google Ads,Performance Max,Shopping Best Sellers,403.84,404,17444,22,1740.55,4.31
2025-12-20,Meta Ads,Prospecting,Lookalike Prospecting,275.11,736,18850,19,762.05,2.77
2025-12-20,Meta Ads,Retargeting,Cart Retargeting,345.12,436,19779,30,1094.03,3.17
2025-12-20,Meta Ads,Advantage+,Advantage Shopping,338.81,629,15705,33,901.23,2.66
2025-12-20,Microsoft Ads,Search,Bing Brand,133.53,382,8830,16,870.62,6.52
2025-12-20,Microsoft Ads,Shopping,Bing Generic,143.26,404,10004,21,766.44,5.35
2025-12-21,Google Ads,Search,Brand Search,360.44,481,18835,14,1690.46,4.69
2025-12-21,Google Ads,Shopping,Generic Search,358.59,675,19546,28,1369.81,3.82
2025-12-21,Google Ads,Performance Max,Shopping Best Sellers,427.41,978,23086,53,1688.27,3.95
2025-12-21,Meta Ads,Prospecting,Lookalike Prospecting,282.03,469,21099,20,767.12,2.72
2025-12-21,Meta Ads,Retargeting,Cart Retargeting,365.35,877,24501,55,1139.89,3.12
2025-12-21,Meta Ads,Advantage+,Advantage Shopping,390.96,445,16985,16,1082.96,2.77
2025-12-21,Microsoft Ads,Search,Bing Brand,110.86,236,9028,13,762.72,6.88
2025-12-21,Microsoft Ads,Shopping,Bing Generic,136.87,213,8575,8,748.68,5.47
2025-12-22,Google Ads,Search,Brand Search,413.56,1168,28249,50,2076.07,5.02
2025-12-22,Google Ads,Shopping,Generic Search,427.9,566,27783,15,2096.71,4.9
2025-12-22,Google Ads,Performance Max,Shopping Best Sellers,467.87,1053,36327,29,2082.02,4.45
2025-12-22,Meta Ads,Prospecting,Lookalike Prospecting,314.35,895,20687,57,1075.08,3.42
2025-12-22,Meta Ads,Retargeting,Cart Retargeting,319.51,742,23221,27,1019.24,3.19
2025-12-22,Meta Ads,Advantage+,Advantage Shopping,450.12,826,27711,56,1201.82,2.67
2025-12-22,Microsoft Ads,Search,Bing Brand,164.08,240,10587,16,938.54,5.72
2025-12-22,Microsoft Ads,Shopping,Bing Generic,189.9,455,13436,15,877.34,4.62
2025-12-23,Google Ads,Search,Brand Search,441.79,1082,34035,27,2398.92,5.43
2025-12-23,Google Ads,Shopping,Generic Search,445.81,1526,37363,95,1658.41,3.72
2025-12-23,Google Ads,Performance Max,Shopping Best Sellers,504.14,1751,41093,51,1900.61,3.77
2025-12-23,Meta Ads,Prospecting,Lookalike Prospecting,326.83,944,24913,29,862.83,2.64
2025-12-23,Meta Ads,Retargeting,Cart Retargeting,377.53,828,20359,36,1147.69,3.04
2025-12-23,Meta Ads,Advantage+,Advantage Shopping,392.86,683,29404,27,1190.37,3.03
2025-12-23,Microsoft Ads,Search,Bing Brand,170.49,331,10522,10,1087.73,6.38
2025-12-23,Microsoft Ads,Shopping,Bing Generic,155.56,255,10652,9,728.02,4.68
2025-12-24,Google Ads,Search,Brand Search,353.3,768,18478,49,1967.88,5.57
2025-12-24,Google Ads,Shopping,Generic Search,409.48,696,29525,22,1629.73,3.98
2025-12-24,Google Ads,Performance Max,Shopping Best Sellers,615.05,1494,38914,92,2700.07,4.39
2025-12-24,Meta Ads,Prospecting,Lookalike Prospecting,297.21,529,18248,24,790.58,2.66
2025-12-24,Meta Ads,Retargeting,Cart Retargeting,410.4,728,35412,31,1292.76,3.15
2025-12-24,Meta Ads,Advantage+,Advantage Shopping,412.49,503,21940,23,1361.22,3.3
2025-12-24,Microsoft Ads,Search,Bing Brand,144.18,322,7676,14,829.04,5.75
2025-12-24,Microsoft Ads,Shopping,Bing Generic,191.23,372,8467,23,950.41,4.97
2025-12-25,Google Ads,Search,Brand Search,473.24,847,37950,40,2848.9,6.02
2025-12-25,Google Ads,Shopping,Generic Search,433.26,539,19340,37,1811.03,4.18
2025-12-25,Google Ads,Performance Max,Shopping Best Sellers,501.66,909,31341,62,2327.7,4.64
2025-12-25,Meta Ads,Prospecting,Lookalike Prospecting,384.02,629,28544,24,1171.26,3.05
2025-12-25,Meta Ads,Retargeting,Cart Retargeting,441.83,1099,29337,30,1356.42,3.07
2025-12-25,Meta Ads,Advantage+,Advantage Shopping,448.71,797,36064,54,1346.13,3.0
2025-12-25,Microsoft Ads,Search,Bing Brand,128.63,315,8847,11,719.04,5.59
2025-12-25,Microsoft Ads,Shopping,Bing Generic,151.28,269,8030,14,822.96,5.44
2025-12-26,Google Ads,Search,Brand Search,402.77,1116,26392,38,2215.23,5.5
2025-12-26,Google Ads,Shopping,Generic Search,512.39,1087,30646,42,2044.44,3.99
2025-12-26,Google Ads,Performance Max,Shopping Best Sellers,512.96,695,23219,49,2359.62,4.6
2025-12-26,Meta Ads,Prospecting,Lookalike Prospecting,385.94,496,19911,33,1018.88,2.64
2025-12-26,Meta Ads,Retargeting,Cart Retargeting,433.1,561,25392,35,1437.89,3.32
2025-12-26,Meta Ads,Advantage+,Advantage Shopping,467.64,1415,40416,36,1445.01,3.09
2025-12-26,Microsoft Ads,Search,Bing Brand,164.46,501,11817,16,950.58,5.78
2025-12-26,Microsoft Ads,Shopping,Bing Generic,151.76,255,10152,13,661.67,4.36
2025-12-27,Google Ads,Search,Brand Search,372.43,653,26271,31,1836.08,4.93
2025-12-27,Google Ads,Shopping,Generic Search,455.92,610,21042,23,2151.94,4.72
2025-12-27,Google Ads,Performance Max,Shopping Best Sellers,386.05,677,27282,40,1787.41,4.63
2025-12-27,Meta Ads,Prospecting,Lookalike Prospecting,285.12,241,12099,16,838.25,2.94
2025-12-27,Meta Ads,Retargeting,Cart Retargeting,367.12,968,29207,31,1116.04,3.04
2025-12-27,Meta Ads,Advantage+,Advantage Shopping,325.64,1039,26850,66,924.82,2.84
2025-12-27,Microsoft Ads,Search,Bing Brand,141.78,156,7547,9,798.22,5.63
2025-12-27,Microsoft Ads,Shopping,Bing Generic,163.65,252,11444,17,780.61,4.77
2025-12-28,Google Ads,Search,Brand Search,390.66,1255,30661,33,2379.12,6.09
2025-12-28,Google Ads,Shopping,Generic Search,436.2,1422,36591,91,1788.42,4.1
2025-12-28,Google Ads,Performance Max,Shopping Best Sellers,507.02,817,39259,52,2038.22,4.02
2025-12-28,Meta Ads,Prospecting,Lookalike Prospecting,314.16,741,24739,29,870.22,2.77
2025-12-28,Meta Ads,Retargeting,Cart Retargeting,357.53,354,15397,14,990.36,2.77
2025-12-28,Meta Ads,Advantage+,Advantage Shopping,414.8,785,22632,34,1406.17,3.39
2025-12-28,Microsoft Ads,Search,Bing Brand,145.78,258,12284,18,902.38,6.19
2025-12-28,Microsoft Ads,Shopping,Bing Generic,131.37,148,7087,7,726.48,5.53
2025-12-29,Google Ads,Search,Brand Search,450.1,976,31183,41,2291.01,5.09
2025-12-29,Google Ads,Shopping,Generic Search,498.06,664,36804,44,1992.24,4.0
2025-12-29,Google Ads,Performance Max,Shopping Best Sellers,559.68,1495,42193,62,2552.14,4.56
2025-12-29,Meta Ads,Prospecting,Lookalike Prospecting,291.37,433,16567,27,914.9,3.14
2025-12-29,Meta Ads,Retargeting,Cart Retargeting,419.16,671,23439,29,1186.22,2.83
2025-12-29,Meta Ads,Advantage+,Advantage Shopping,416.25,1076,25358,60,1119.71,2.69
2025-12-29,Microsoft Ads,Search,Bing Brand,170.98,306,9497,8,1080.59,6.32
2025-12-29,Microsoft Ads,Shopping,Bing Generic,163.58,390,11140,18,785.18,4.8
2025-12-30,Google Ads,Search,Brand Search,413.62,1085,26179,66,2043.28,4.94
2025-12-30,Google Ads,Shopping,Generic Search,436.83,981,28479,39,1659.95,3.8
2025-12-30,Google Ads,Performance Max,Shopping Best Sellers,612.11,1055,44241,36,2815.71,4.6
2025-12-30,Meta Ads,Prospecting,Lookalike Prospecting,287.81,731,18242,21,802.99,2.79
2025-12-30,Meta Ads,Retargeting,Cart Retargeting,382.71,701,19422,33,1190.23,3.11
2025-12-30,Meta Ads,Advantage+,Advantage Shopping,410.83,651,17357,39,1285.9,3.13
2025-12-30,Microsoft Ads,Search,Bing Brand,133.02,285,6640,14,798.12,6.0
2025-12-30,Microsoft Ads,Shopping,Bing Generic,151.0,362,12106,22,688.56,4.56
2025-12-31,Google Ads,Search,Brand Search,446.13,1311,30692,85,2725.85,6.11
2025-12-31,Google Ads,Shopping,Generic Search,508.48,1303,32906,65,2318.67,4.56
2025-12-31,Google Ads,Performance Max,Shopping Best Sellers,629.09,986,39859,36,2887.52,4.59
2025-12-31,Meta Ads,Prospecting,Lookalike Prospecting,356.12,799,23311,30,1146.71,3.22
2025-12-31,Meta Ads,Retargeting,Cart Retargeting,341.9,488,18540,24,964.16,2.82
2025-12-31,Meta Ads,Advantage+,Advantage Shopping,397.59,1059,29115,30,1101.32,2.77
2025-12-31,Microsoft Ads,Search,Bing Brand,148.38,211,9008,9,919.96,6.2
2025-12-31,Microsoft Ads,Shopping,Bing Generic,200.19,591,14674,35,1004.95,5.02
2026-01-01,Google Ads,Search,Brand Search,409.15,889,23661,56,1894.36,4.63
